# 1:t 2:x 3:y 4:z 5:P 6:Pmac 7:U 8:V 9:T
0.316214 0.25 0.2 0 0.89317 1.70527 1.73584e-06 -1.29434e-05 0
0.317972 0.25 0.2 0 0.895191 1.69459 1.81577e-06 5.48904e-06 0
0.319728 0.25 0.2 0 0.887863 1.67103 9.20985e-07 -1.19124e-05 0
0.321482 0.25 0.2 0 0.877587 1.64766 1.87967e-06 7.01952e-06 0
0.323233 0.25 0.2 0 0.862456 1.60517 1.56406e-06 -1.84003e-05 0
0.324983 0.25 0.2 0 0.844513 1.56297 1.65887e-06 2.21501e-05 0
0.32673 0.25 0.2 0 0.826828 1.52134 1.73059e-06 -1.45342e-05 0
0.328477 0.25 0.2 0 0.810074 1.4892 1.27264e-06 1.32779e-05 0
0.330222 0.25 0.2 0 0.797024 1.45933 1.46289e-06 -1.1604e-06 0
0.331965 0.25 0.2 0 0.788218 1.43457 1.13666e-06 7.91323e-06 0
0.333706 0.25 0.2 0 0.784024 1.42184 1.27081e-06 -3.4812e-06 0
0.335445 0.25 0.2 0 0.78342 1.42049 1.39677e-06 -6.1094e-06 0
0.337183 0.25 0.2 0 0.787446 1.43699 1.77555e-06 -2.54317e-06 0
0.338919 0.25 0.2 0 0.794917 1.48914 7.59513e-07 -2.6768e-06 0
0.340653 0.25 0.2 0 0.804592 1.49546 9.0351e-07 -2.18812e-05 0
0.342385 0.25 0.2 0 0.815716 1.50738 9.20492e-07 3.51733e-05 0
0.344114 0.25 0.2 0 0.825473 1.52426 8.0704e-07 -1.78961e-05 0
0.345842 0.25 0.2 0 0.83498 1.54844 8.55709e-07 -5.08027e-06 0
0.347567 0.25 0.2 0 0.84246 1.59763 8.16164e-07 8.81636e-06 0
0.34929 0.25 0.2 0 0.847637 1.59449 8.93934e-07 -6.03258e-06 0
0.35101 0.25 0.2 0 0.849444 1.58633 8.01718e-07 -1.48359e-06 0
0.352728 0.25 0.2 0 0.848673 1.58334 9.3389e-07 -8.06812e-07 0
0.354444 0.25 0.2 0 0.845715 1.58298 8.31397e-07 -4.2388e-06 0
0.356157 0.25 0.2 0 0.841385 1.58423 7.78552e-07 -3.69278e-07 0
0.357869 0.25 0.2 0 0.836114 1.55679 1.06112e-06 2.42386e-06 0
0.359578 0.25 0.2 0 0.829093 1.52994 7.49053e-07 -3.32064e-06 0
0.361285 0.25 0.2 0 0.822895 1.51514 9.28199e-07 3.83963e-06 0
0.36299 0.25 0.2 0 0.817573 1.51048 8.62793e-07 1.73804e-06 0
0.364693 0.25 0.2 0 0.81489 1.51444 1.07521e-06 1.47572e-05 0
0.366394 0.25 0.2 0 0.811315 1.49684 4.79287e-07 -6.70301e-06 0
0.368093 0.25 0.2 0 0.811164 1.48438 5.81159e-07 -8.85949e-06 0
0.369789 0.25 0.2 0 0.811444 1.48677 8.02802e-07 -5.066e-06 0
0.371485 0.25 0.2 0 0.813489 1.49715 6.90243e-07 4.06576e-06 0
0.373178 0.25 0.2 0 0.816615 1.53088 8.40304e-07 -1.75797e-06 0
0.374868 0.25 0.2 0 0.820466 1.52551 5.79109e-07 1.93341e-06 0
0.376556 0.25 0.2 0 0.823992 1.51934 6.70719e-07 -2.82984e-06 0
0.378242 0.25 0.2 0 0.82741 1.52421 6.00617e-07 -4.41248e-06 0
0.379925 0.25 0.2 0 0.830675 1.53531 6.15554e-07 1.33184e-06 0
0.381606 0.25 0.2 0 0.832886 1.56436 7.07349e-07 1.60507e-06 0
0.383286 0.25 0.2 0 0.834313 1.55447 6.29768e-07 -3.18204e-06 0
0.384963 0.25 0.2 0 0.834474 1.5422 7.33045e-07 -2.67941e-06 0
0.386638 0.25 0.2 0 0.833647 1.53904 6.02474e-07 6.69601e-08 0
0.388311 0.25 0.2 0 0.832577 1.54239 8.97314e-07 5.76374e-06 0
0.389981 0.25 0.2 0 0.831038 1.55606 4.58351e-07 -1.47514e-05 0
0.391649 0.25 0.2 0 0.82936 1.54226 5.90472e-07 1.92185e-05 0
0.393315 0.25 0.2 0 0.82706 1.52083 7.0745e-07 -2.00997e-05 0
0.394979 0.25 0.2 0 0.824205 1.51403 7.03138e-07 1.02067e-05 0
0.396641 0.25 0.2 0 0.823631 1.51602 9.31813e-07 -2.3685e-05 0
0.398301 0.25 0.2 0 0.821729 1.51016 4.54039e-07 1.23701e-05 0
0.39996 0.25 0.2 0 0.821663 1.50924 5.51063e-07 6.82811e-06 0
0.401615 0.25 0.2 0 0.821471 1.52439 5.305e-07 -2.76742e-06 0
0.403269 0.25 0.2 0 0.822535 1.51442 6.75106e-07 -1.10149e-05 0
0.404921 0.25 0.2 0 0.822352 1.50506 6.49289e-07 7.21402e-06 0
0.40657 0.25 0.2 0 0.823552 1.50729 7.34981e-07 2.49237e-05 0
0.408218 0.25 0.2 0 0.824982 1.51592 4.67187e-07 -2.2916e-05 0
0.409863 0.25 0.2 0 0.827015 1.54292 8.76377e-07 -7.79882e-06 0
0.411506 0.25 0.2 0 0.82794 1.53031 5.67074e-07 2.70258e-07 0
0.413148 0.25 0.2 0 0.82876 1.51731 7.06018e-07 -1.5606e-06 0
0.414786 0.25 0.2 0 0.828596 1.51557 7.99466e-07 3.40264e-06 0
0.41642 0.25 0.2 0 0.829355 1.52125 7.03663e-07 -1.53112e-05 0
0.418051 0.25 0.2 0 0.829808 1.53065 5.69726e-07 2.04795e-05 0
0.419678 0.25 0.2 0 0.830155 1.5527 6.26861e-07 -8.24623e-06 0
0.421301 0.25 0.2 0 0.829942 1.5335 9.56359e-07 1.22426e-05 0
0.42292 0.25 0.2 0 0.829393 1.51383 6.64367e-07 -2.97559e-05 0
0.424537 0.25 0.2 0 0.827835 1.50841 5.8186e-07 2.42188e-05 0
0.426149 0.25 0.2 0 0.827671 1.50971 5.35974e-07 -1.15885e-05 0
0.427758 0.25 0.2 0 0.827359 1.51722 6.9555e-07 2.37481e-06 0
0.429364 0.25 0.2 0 0.827048 1.53641 5.8844e-07 -2.24471e-06 0
0.430966 0.25 0.2 0 0.827132 1.52179 6.36626e-07 4.55564e-06 0
0.432565 0.25 0.2 0 0.82646 1.50696 4.86989e-07 -1.42167e-05 0
0.434161 0.25 0.2 0 0.826192 1.50439 7.62448e-07 1.02075e-05 0
0.435752 0.25 0.2 0 0.826231 1.50974 5.38152e-07 3.59984e-07 0
0.43734 0.25 0.2 0 0.826724 1.52002 6.75338e-07 -6.34196e-06 0
0.438926 0.25 0.2 0 0.827343 1.54295 6.13233e-07 -1.82348e-06 0
0.440508 0.25 0.2 0 0.828139 1.52478 6.72909e-07 5.29883e-07 0
0.442086 0.25 0.2 0 0.828081 1.50663 7.35431e-07 1.90008e-06 0
0.443661 0.25 0.2 0 0.827708 1.50163 6.5428e-07 -8.33341e-06 0
0.445233 0.25 0.2 0 0.828235 1.50504 6.0676e-07 2.16069e-05 0
0.446801 0.25 0.2 0 0.828685 1.5148 6.72109e-07 -2.02368e-05 0
0.448367 0.25 0.2 0 0.829189 1.53921 7.98826e-07 -5.39978e-07 0
0.449929 0.25 0.2 0 0.829452 1.52558 6.70484e-07 1.0197e-05 0
0.451487 0.25 0.2 0 0.829112 1.51105 7.93815e-07 -8.9319e-06 0
0.453043 0.25 0.2 0 0.828378 1.5075 7.15509e-07 5.44946e-06 0
0.454595 0.25 0.2 0 0.828325 1.51249 6.86387e-07 -7.42538e-06 0
0.456144 0.25 0.2 0 0.828685 1.5221 7.14012e-07 3.51124e-06 0
0.457691 0.25 0.2 0 0.828689 1.54305 5.83214e-07 -5.13775e-06 0
0.459233 0.25 0.2 0 0.829136 1.5228 8.12016e-07 -3.17392e-06 0
0.460773 0.25 0.2 0 0.828526 1.5029 4.22722e-07 3.38672e-05 0
0.462309 0.25 0.2 0 0.828 1.49353 1.17519e-06 -2.65196e-05 0
0.463842 0.25 0.2 0 0.827344 1.4957 4.90663e-07 -4.71743e-06 0
0.465372 0.25 0.2 0 0.827903 1.50433 8.28185e-07 -7.25804e-07 0
0.466899 0.25 0.2 0 0.828169 1.52851 7.03333e-07 6.53493e-06 0
0.468423 0.25 0.2 0 0.828912 1.51609 2.22898e-06 -1.23037e-05 0
0.469944 0.25 0.2 0 0.827994 1.50277 5.07231e-07 -2.99043e-06 0
0.471461 0.25 0.2 0 0.828131 1.50108 9.22108e-07 2.53489e-05 0
0.472976 0.25 0.2 0 0.827979 1.50631 5.44715e-07 -2.08679e-05 0
0.474488 0.25 0.2 0 0.828617 1.52854 5.32685e-07 1.34682e-05 0
0.475995 0.25 0.2 0 0.829077 1.51556 7.20856e-07 -1.67178e-05 0
0.477501 0.25 0.2 0 0.828716 1.50219 6.99009e-07 7.15985e-06 0
0.479004 0.25 0.2 0 0.828299 1.50014 6.93746e-07 -2.20761e-06 0
0.480503 0.25 0.2 0 0.82844 1.50545 7.22731e-07 2.41488e-07 0
0.481999 0.25 0.2 0 0.82867 1.52308 7.24607e-07 1.30988e-08 0
0.483493 0.25 0.2 0 0.829025 1.5101 6.68571e-07 1.32184e-06 0
0.484983 0.25 0.2 0 0.829306 1.49684 9.25144e-07 -9.76453e-06 0
0.486471 0.25 0.2 0 0.829101 1.49278 6.09565e-07 -1.35242e-05 0
0.487955 0.25 0.2 0 0.829198 1.49442 7.97463e-07 9.79738e-07 0
0.489437 0.25 0.2 0 0.829533 1.51686 7.7198e-07 6.966e-06 0
